sep=,
Checkpoints/Tests,ACB,BCM,BID,BVH,CTG,FPT,GAS,GVR,HDB,HPG,LPB,MBB,MSN,MWG,PLX,SAB,SHB,SSB,SSI,STB,TCB,TPB,VCB,VHM,VIB,VIC,VJC,VNM,VPB,VRE
SAB,0.6322733163833618,0.7777013182640076,0.75020432472229,0.9425126314163208,0.8902339935302734,0.9177418947219849,0.7863075137138367,0.7578616142272949,0.8268450498580933,0.6966928243637085,0.9648924469947815,0.7761471271514893,0.8954107761383057,0.8791243433952332,0.9192852973937988,0.015569224953651428,0.24593369662761688,0.892452597618103,0.8208128213882446,0.9211323261260986,0.8411500453948975,0.8233399987220764,0.632733941078186,0.7298902273178101,0.7297373414039612,0.3995455503463745,0.9242219924926758,0.9519346356391907,0.7619360685348511,0.6492536664009094
SHB,-4.783143043518066,0.8492832183837891,-2.2583224773406982,0.7861552238464355,0.06716519594192505,-1.6177523136138916,0.7454943060874939,0.7646036148071289,-1.5285141468048096,0.674857497215271,0.001679942011833191,-0.9883918762207031,0.8430479168891907,0.9445414543151855,0.8876296281814575,-5.966742515563965,0.9340717792510986,0.3088773488998413,0.8227027654647827,0.6898414492607117,0.6704482436180115,0.8824666738510132,-2.5556023120880127,-1.0586938858032227,0.6813182830810547,-3.473435878753662,0.4809280037879944,0.7616850137710571,0.6861441135406494,-2.571237325668335
SSB,-0.7727798819541931,0.1439899355173111,0.2908002734184265,0.9105775356292725,0.556242823600769,0.6862468719482422,0.8470390439033508,0.19879543781280518,0.6230420470237732,-2.8926587104797363,0.8977091908454895,0.1222648024559021,0.5016210079193115,0.6149768829345703,0.9098182320594788,0.7910337448120117,0.7278318405151367,0.8334388136863708,-0.5458147525787354,0.6171791553497314,0.21509407460689545,0.009077310562133789,-0.15191227197647095,0.8959707021713257,-2.9920248985290527,0.8827213048934937,0.8710547089576721,0.9239243268966675,-2.199296712875366,0.9351757764816284
SSI,-1.0762226581573486,0.8385228514671326,-0.43096888065338135,0.8763811588287354,0.674769401550293,-0.21716547012329102,0.7731696367263794,0.8448670506477356,-0.09357385337352753,0.8293244242668152,0.4581679701805115,0.30768269300460815,0.6966188549995422,0.9333218932151794,0.867232084274292,-1.6659393310546875,0.9353309273719788,0.7352957129478455,0.8566420674324036,0.8777955174446106,0.8715410232543945,0.9091094136238098,-0.6078702211380005,0.44984573125839233,0.7948437333106995,-0.004909411072731018,0.6852759122848511,0.8260619640350342,0.8111393451690674,0.4418494701385498
STB,0.45112133026123047,0.837266206741333,0.6909298300743103,0.8633071184158325,0.8963160514831543,0.8022032380104065,0.7060747146606445,0.8207399845123291,0.7908400893211365,0.6985142230987549,0.9325323104858398,0.7855784893035889,0.67753005027771,0.9427796006202698,0.8747211694717407,-0.18875931203365326,0.8478538990020752,0.8319740891456604,0.8701912760734558,0.9471349716186523,0.9098344445228577,0.9149277210235596,0.48456257581710815,0.7317936420440674,0.8696043491363525,0.4731079339981079,0.7575539946556091,0.8373733758926392,0.6746655702590942,0.884058952331543
TCB,-2.37176251411438,0.7012394070625305,-0.9723409414291382,0.9044178128242493,0.49630922079086304,-0.6760185956954956,0.828935980796814,0.7947508692741394,-0.53856360912323,0.45745229721069336,0.3526502251625061,-0.15388941764831543,0.8103981614112854,0.9465683698654175,0.9233071804046631,-3.538639545440674,0.24105016887187958,0.6252237558364868,0.8829292058944702,0.8099184632301331,0.8000624179840088,0.9221776127815247,-1.2582404613494873,-0.00966005027294159,0.8408887982368469,-0.9564329385757446,0.5880589485168457,0.7682163119316101,0.4052762985229492,0.28743642568588257
TPB,0.8250446915626526,0.8847126960754395,0.7219783067703247,0.8683009147644043,0.9318602085113525,0.7440646886825562,0.8011598587036133,0.8414773941040039,0.7990955114364624,0.820176362991333,0.8723657131195068,0.899727463722229,0.09924614429473877,0.9434426426887512,0.8780346512794495,-0.010251343250274658,0.9424192905426025,0.7868802547454834,0.8324762582778931,0.965018630027771,0.934738039970398,0.8963358402252197,0.7992192506790161,0.7364543676376343,0.7999435663223267,0.6144751906394958,0.7708233594894409,0.8324785232543945,0.8405171632766724,0.9040064811706543
VCB,0.8423460125923157,0.8932399153709412,0.7094376087188721,0.9132894277572632,0.9425191283226013,0.9035689830780029,0.9285104274749756,0.893206000328064,0.8610763549804688,0.3605552315711975,0.9432112574577332,0.8874215483665466,0.6845927834510803,0.950610339641571,0.9325810670852661,0.7037584781646729,0.9477075338363647,0.8657408952713013,0.8422735333442688,0.9528841376304626,0.9236479997634888,0.8873128294944763,0.7308933734893799,0.8799278140068054,0.6363744735717773,0.8411120176315308,0.8959818482398987,0.9150073528289795,0.4851345121860504,0.8620559573173523
VHM,0.6948955059051514,0.6255923509597778,0.1378936916589737,0.937964677810669,0.8250592947006226,0.14025039970874786,0.8862683773040771,0.5734729766845703,0.28353554010391235,-0.12478603422641754,0.5358781218528748,0.7616069316864014,0.8996880054473877,0.781428873538971,0.9462567567825317,0.8735730648040771,0.7212930917739868,0.9100673198699951,-0.2839779257774353,0.8219285011291504,0.5898562073707581,0.4078409671783447,0.7087345719337463,0.9218928813934326,-1.30116868019104,0.9268280267715454,0.9017381072044373,0.9116315841674805,0.07133002579212189,0.92037433385849
VIB,0.07819460332393646,0.8967417478561401,0.21959179639816284,0.6701414585113525,0.851781964302063,0.22640618681907654,0.28984954953193665,0.8794466257095337,0.4088318943977356,0.8321601152420044,0.599381685256958,0.6751022338867188,0.3506079912185669,0.9493764042854309,0.7675565481185913,-1.0913946628570557,0.9215195178985596,0.5125370025634766,0.8886667490005493,0.9454526305198669,0.9234417080879211,0.9250232577323914,0.36590906977653503,0.5302869081497192,0.8514617681503296,0.14675873517990112,0.5206328630447388,0.6296663880348206,0.835150957107544,0.7004371881484985
