Checkpoints/Tests,ACB,BCM,BID,BVH,CTG,FPT,GAS,GVR,HDB,HPG,LPB,MBB,MSN,MWG,PLX,SAB,SHB,SSB,SSI,STB,TCB,TPB,VCB,VHM,VIB,VIC,VJC,VNM,VPB,VRE
LPB,0.9270306825637817,0.964458167552948,0.9271239042282104,0.9800504446029663,0.9697818756103516,0.9791803359985352,0.9650809168815613,0.9543106555938721,0.966532289981842,0.9186071157455444,0.9906003475189209,0.9536173939704895,0.9632394313812256,0.9800567030906677,0.9806348085403442,0.9451620578765869,0.9750844240188599,0.9601923227310181,0.9511075019836426,0.982718825340271,0.9657735824584961,0.9651855826377869,0.894362211227417,0.9754651784896851,0.9337290525436401,0.9802899956703186,0.9631830453872681,0.964676022529602,0.9304428696632385,0.9831111431121826
MBB,0.9218047261238098,0.9655478000640869,0.9259378910064697,0.9811736345291138,0.9714751243591309,0.9815002083778381,0.9663283824920654,0.9567407965660095,0.969823956489563,0.9226276874542236,0.992891788482666,0.9535897970199585,0.9647923707962036,0.9809001684188843,0.9817451238632202,0.9455925822257996,0.9751410484313965,0.9624394178390503,0.9528729319572449,0.9833101034164429,0.9668936133384705,0.9663809537887573,0.885195255279541,0.9759090542793274,0.9361039996147156,0.980027973651886,0.9653116464614868,0.9672576189041138,0.9346261024475098,0.983359694480896
MSN,0.9289538264274597,0.9646203517913818,0.9318010807037354,0.9807483553886414,0.9718172550201416,0.9862501621246338,0.9649908542633057,0.9547200202941895,0.9726967215538025,0.9179136157035828,0.9946490526199341,0.9539897441864014,0.9645542502403259,0.9802765846252441,0.981460690498352,0.9477227330207825,0.9731453657150269,0.9611295461654663,0.9491205215454102,0.9829873442649841,0.9658721089363098,0.9642670154571533,0.8928132653236389,0.9759427905082703,0.9296441674232483,0.9803026914596558,0.9646714329719543,0.9665679931640625,0.9312220215797424,0.984289288520813
MWG,0.9247963428497314,0.9644017815589905,0.9117128252983093,0.9807421565055847,0.9716746807098389,0.9658329486846924,0.9652552604675293,0.9560081362724304,0.9607994556427002,0.921042263507843,0.9850818514823914,0.9550127983093262,0.9644652009010315,0.9804837703704834,0.9812831878662109,0.939146101474762,0.9748032093048096,0.9618401527404785,0.9517483711242676,0.9837595224380493,0.9677802920341492,0.9653189182281494,0.8863949179649353,0.9737180471420288,0.9334647059440613,0.9758375287055969,0.9642800688743591,0.9673973321914673,0.9324690103530884,0.9826918840408325
PLX,0.9137637615203857,0.9652848839759827,0.9235097169876099,0.9825240969657898,0.9693835973739624,0.977567195892334,0.9670912027359009,0.9552586674690247,0.9650484323501587,0.9191559553146362,0.9906367063522339,0.9490702152252197,0.964695394039154,0.9806355237960815,0.9824123978614807,0.9473039507865906,0.973046064376831,0.96291184425354,0.9492073059082031,0.9822390079498291,0.9659388661384583,0.9653005599975586,0.8837099075317383,0.9777015447616577,0.9295509457588196,0.9815787672996521,0.9686022400856018,0.9689649343490601,0.9312112331390381,0.985830545425415
SAB,0.9248456358909607,0.9618311524391174,0.9289149641990662,0.9808168411254883,0.9705812931060791,0.9866074919700623,0.9640257358551025,0.9520310163497925,0.9716352224349976,0.9104032516479492,0.9949324727058411,0.9504077434539795,0.9624408483505249,0.9788897633552551,0.9817980527877808,0.8807770013809204,0.9688643217086792,0.9591662287712097,0.9452300071716309,0.9816224575042725,0.963441789150238,0.9620131254196167,0.889201283454895,0.9633042812347412,0.9207789301872253,0.9508211612701416,0.9641196727752686,0.9680454134941101,0.9218157529830933,0.9748716354370117
SHB,0.9360664486885071,0.9649102687835693,0.9338904023170471,0.9810936450958252,0.972339391708374,0.9882136583328247,0.9664438962936401,0.9557077288627625,0.9750491380691528,0.9219045639038086,0.995753288269043,0.9581496715545654,0.9645216464996338,0.980546772480011,0.9810320734977722,0.9409336447715759,0.974105954170227,0.9624366760253906,0.9526747465133667,0.9834778904914856,0.9666453003883362,0.9657174348831177,0.8947871923446655,0.9755160212516785,0.9339509010314941,0.9795855283737183,0.9638848304748535,0.964813232421875,0.9323297739028931,0.9844585061073303
SSB,0.7611590623855591,0.9580444097518921,0.8559957146644592,0.9795045852661133,0.942686915397644,0.9442178010940552,0.9651279449462891,0.9322890639305115,0.9226423501968384,0.8966342210769653,0.9789015650749207,0.8833537101745605,0.9608138799667358,0.9729297161102295,0.980330228805542,0.8501638770103455,0.9733124375343323,0.9557610154151917,0.9077051281929016,0.9657425284385681,0.9379364252090454,0.9469059705734253,0.7652963995933533,0.9596213102340698,0.8615601062774658,0.9432463645935059,0.9579187631607056,0.9624443650245667,0.9137231111526489,0.9724020957946777
SSI,0.9368171691894531,0.9642720222473145,0.9335247874259949,0.9800399541854858,0.9724337458610535,0.9881018400192261,0.964417576789856,0.9561088681221008,0.9749109745025635,0.9194005727767944,0.9956168532371521,0.9582642316818237,0.9632222056388855,0.9805670976638794,0.9811575412750244,0.9411823153495789,0.9745280146598816,0.960921585559845,0.9520155191421509,0.9841234087944031,0.9676421880722046,0.9649129509925842,0.9001777172088623,0.9743955135345459,0.9347168803215027,0.9783599376678467,0.9651109576225281,0.9669246077537537,0.9325588941574097,0.9826512932777405
STB,0.9214463829994202,0.9653670191764832,0.9222675561904907,0.9807946681976318,0.9714655876159668,0.9804884791374207,0.9660199284553528,0.9562414288520813,0.9678034782409668,0.9211582541465759,0.992526650428772,0.9530646800994873,0.9639254808425903,0.9804953932762146,0.9815953373908997,0.9454073905944824,0.975472092628479,0.9609678387641907,0.9532124996185303,0.9833146929740906,0.9669666886329651,0.9660764336585999,0.883683979511261,0.9751542806625366,0.9369620084762573,0.9799691438674927,0.964011549949646,0.9667927026748657,0.9337892532348633,0.9841894507408142
