time,open,high,low,close,volume,Up,HighVol,BreakMA5
2022-06-29,22.18,22.28,21.33,21.71,1658400,0,1,0
2022-06-30,21.81,21.99,21.33,21.38,1028100,0,1,0
2022-07-01,21.33,21.43,20.62,21.43,1294600,1,1,0
2022-07-04,21.71,21.81,20.95,21.24,692600,0,1,0
2022-07-05,21.52,21.52,20.48,20.48,1176800,0,1,0
2022-07-06,20.29,20.71,19.77,19.77,1519200,0,1,0
2022-07-07,19.48,20.1,19.44,19.67,942200,0,1,0
2022-07-08,20.29,20.48,19.91,20.1,931000,1,0,0
2022-07-11,20.24,20.38,19.77,19.86,876600,0,1,0
2022-07-12,19.86,21.24,19.86,21.24,2467200,1,1,1
2022-07-13,21.62,22.14,21.38,21.38,2141700,1,1,1
2022-07-14,21.24,22.18,21.24,21.99,1620000,1,1,1
2022-07-15,22.04,22.47,21.9,21.95,1779400,0,0,1
2022-07-18,22.18,22.61,21.9,21.99,1504400,1,1,1
2022-07-19,21.99,22.23,21.47,21.99,1292800,0,1,1
2022-07-20,22.37,22.9,22.09,22.56,2476900,1,1,1
2022-07-21,22.66,22.85,22.37,22.47,1542500,0,0,1
2022-07-22,22.47,22.94,22.28,22.28,1651200,0,0,1
2022-07-25,22.28,22.28,21.62,21.62,1193500,0,1,0
2022-07-26,21.66,21.95,21.43,21.57,1038100,0,0,0
2022-07-27,21.33,21.99,21.24,21.9,1715000,1,1,0
2022-07-28,22.28,22.85,22.04,22.71,2558100,1,1,1
2022-07-29,22.9,22.94,22.52,22.66,1899000,0,0,1
2022-08-01,22.75,23.42,22.56,23.42,2618000,1,1,1
2022-08-02,23.23,23.8,23.23,23.51,2205700,1,0,1
2022-08-03,23.46,23.56,23.18,23.42,1638900,0,0,1
2022-08-04,23.65,24.03,23.23,23.32,1954400,0,1,1
2022-08-05,23.32,23.46,23.04,23.46,1844600,1,0,1
2022-08-08,23.51,23.99,23.51,23.8,1954300,1,0,1
2022-08-09,23.75,23.99,23.65,23.94,1576700,1,0,1
2022-08-10,23.84,23.94,23.7,23.75,1453200,0,0,1
2022-08-11,23.94,24.08,23.04,23.42,2421500,0,1,0
2022-08-12,23.23,23.65,23.23,23.56,995200,1,0,0
2022-08-15,23.94,23.99,23.56,23.56,1074300,0,0,0
2022-08-16,23.32,23.61,23.32,23.51,1150900,0,0,0
2022-08-17,23.61,23.7,23.23,23.27,1710800,0,0,0
2022-08-18,23.04,23.42,22.9,23.09,1408000,0,0,0
2022-08-19,23.04,23.18,22.71,22.94,1157600,0,0,0
2022-08-22,22.75,22.85,22.14,22.42,1947200,0,1,0
2022-08-23,22.14,22.75,22.14,22.71,1179400,1,0,0
2022-08-24,22.85,22.99,22.61,22.9,1156200,1,0,1
2022-08-25,22.94,24.13,22.94,24.13,5087500,1,1,1
2022-08-26,24.18,24.18,23.61,24.08,1739300,0,0,1
2022-08-29,23.51,23.65,22.75,23.65,2556000,0,1,1
2022-08-30,23.7,25.27,23.7,25.27,7996000,1,1,1
2022-08-31,25.27,25.41,24.79,24.98,1892400,0,0,1
2022-09-05,24.89,25.93,24.84,24.84,2623300,0,1,1
2022-09-06,25.03,25.31,24.41,24.55,2683600,0,1,0
2022-09-07,24.65,25.5,24.46,24.46,5221400,0,1,0
2022-09-08,24.51,24.74,23.7,23.7,2272500,0,1,0
2022-09-09,23.89,24.03,22.04,24.03,3553600,1,1,0
2022-09-12,24.27,24.36,23.56,23.7,1445551,0,1,0
2022-09-13,23.51,23.8,23.27,23.75,1514878,1,0,0
2022-09-14,23.09,23.7,23.09,23.7,1835656,0,0,0
2022-09-15,23.89,24.6,23.51,24.18,2667085,1,1,1
2022-09-16,24.08,24.08,23.32,23.32,1709623,0,1,0
2022-09-19,23.32,23.32,21.71,21.71,3153083,0,1,0
2022-09-20,21.81,22.42,21.57,22.28,1308211,1,1,0
2022-09-21,22.09,22.56,21.99,22.04,847123,0,0,0
2022-09-22,21.9,22.42,21.85,22.37,1419016,1,0,1
2022-09-23,22.71,22.71,22.04,22.14,1000701,0,1,1
2022-09-26,21.47,21.95,20.76,21.81,1974236,0,1,0
2022-09-27,21.76,21.9,21.43,21.57,878830,0,0,0
2022-09-28,21.14,21.62,20.76,21.05,1053353,0,1,0
2022-09-29,21.28,21.43,19.81,19.81,1117301,0,1,0
2022-09-30,19.25,19.86,18.49,19.81,1585360,0,1,0
2022-10-03,19.86,19.86,18.44,18.44,1141466,0,1,0
2022-10-04,18.58,18.87,17.3,17.3,1664628,0,1,0
2022-10-05,17.82,18.2,17.63,18.11,1016211,1,1,0
2022-10-06,18.16,18.16,16.88,16.88,1506402,0,1,0
2022-10-07,16.78,16.78,15.74,15.74,2272607,0,1,0
2022-10-10,15.74,16.31,15.22,16.02,1889199,1,1,0
2022-10-11,15.69,16.02,14.93,14.93,1990157,0,1,0
2022-10-12,14.26,15.96,14.26,15.53,1460145,1,1,0
2022-10-13,15.57,15.87,15.48,15.57,799485,1,0,1
2022-10-14,16.16,16.26,15.82,16.01,1897922,1,0,1
2022-10-17,15.96,16.16,15.57,16.16,1247482,1,1,1
2022-10-18,16.69,16.69,16.3,16.35,1253652,1,0,1
2022-10-19,16.5,16.5,16.06,16.11,1134130,0,0,1
2022-10-20,16.06,16.26,15.72,15.77,1037946,0,1,0
2022-10-21,15.87,15.87,14.7,14.7,2124710,0,1,0
2022-10-24,14.6,14.8,13.68,13.68,1695191,0,1,0
2022-10-25,13.43,14.11,12.75,12.95,2838679,0,1,0
2022-10-26,12.99,13.63,12.95,13.14,1293376,1,1,0
2022-10-27,13.29,14.02,13.24,14.02,1512575,1,1,1
2022-10-28,14.26,14.7,13.97,14.11,1431820,1,1,1
2022-10-31,14.21,14.31,13.53,14.02,1102922,0,1,1
2022-11-01,14.31,14.5,14.02,14.11,1259275,1,1,1
2022-11-02,14.21,14.31,13.82,13.82,1168160,0,1,0
2022-11-03,13.43,14.11,13.43,13.87,1203310,1,1,0
2022-11-04,13.63,13.92,12.99,12.99,1633558,0,1,0
2022-11-07,12.99,13.29,12.12,12.12,1557070,0,1,0
2022-11-08,11.88,12.7,11.88,12.7,1174300,1,1,0
2022-11-09,12.95,13.19,12.56,12.95,963957,1,1,1
2022-11-10,12.65,12.9,12.07,12.07,1906343,0,1,0
2022-11-11,12.31,12.41,11.24,11.24,1725045,0,1,0
2022-11-14,10.8,11.34,10.46,10.46,1914403,0,1,0
2022-11-15,10.22,10.56,9.73,9.73,2907428,0,1,0
2022-11-16,9.3,10.41,9.05,10.41,2331935,1,1,0
2022-11-17,10.66,11.1,10.61,11.1,1831171,1,1,1
2022-11-18,11.19,11.83,10.9,11.83,3216198,1,1,1
2022-11-21,12.12,12.65,12.07,12.65,2822715,1,1,1
2022-11-22,12.99,13.34,11.92,12.26,3398342,0,1,1
2022-11-23,12.36,12.61,12.12,12.22,1361391,0,1,1
2022-11-24,12.22,12.75,12.02,12.65,2150446,1,1,1
2022-11-25,13.14,13.38,12.85,13.14,2076580,1,1,1
2022-11-28,13.63,13.82,13.38,13.72,3057683,1,1,1
2022-11-29,13.97,13.97,13.14,13.77,3885836,1,1,1
2022-11-30,13.82,14.21,13.43,13.82,3120901,1,1,1
2022-12-01,14.11,14.75,13.92,14.41,4152253,1,1,1
2022-12-02,14.6,15.09,14.11,15.09,2297122,1,1,1
2022-12-05,15.53,15.62,14.99,15.18,2983678,1,1,1
2022-12-06,15.09,15.09,14.16,14.16,3837566,0,1,0
2022-12-07,14.02,14.41,13.63,13.63,1976463,0,1,0
2022-12-08,13.87,14.55,13.87,14.31,1563350,1,1,0
2022-12-09,14.36,14.84,14.07,14.65,1872812,1,1,1
2022-12-12,14.84,15.33,14.41,14.41,2607525,0,1,1
2022-12-13,14.41,14.65,13.92,14.6,2309719,1,1,1
2022-12-14,14.8,15.38,14.5,15.09,3425777,1,1,1
2022-12-15,14.99,15.57,14.89,15.18,2768256,1,1,1
2022-12-16,14.89,15.91,14.89,15.38,3948097,1,1,1
2022-12-19,15.38,15.72,14.89,14.89,2375805,0,1,0
2022-12-20,14.8,14.99,13.87,13.92,3358734,0,1,0
2022-12-21,13.92,14.41,13.14,13.82,2087268,0,1,0
2022-12-22,14.16,14.21,13.72,14.11,885179,1,1,0
2022-12-23,14.07,14.36,13.77,13.97,1189683,0,1,0
2022-12-26,13.87,14.02,12.99,12.99,1934794,0,1,0
2022-12-27,12.99,13.87,12.99,13.87,1260892,1,1,1
2022-12-28,14.02,14.07,13.68,13.82,656756,0,0,1
2022-12-29,13.82,13.87,13.43,13.43,665219,0,1,0
2022-12-30,13.53,13.72,13.38,13.43,576466,0,0,0
2023-01-03,13.43,14.21,13.43,14.21,2167358,1,1,1
2023-01-04,14.31,14.6,14.07,14.45,1944955,1,1,1
2023-01-05,14.5,14.8,14.41,14.5,3014780,1,0,1
2023-01-06,14.65,14.7,13.72,14.02,2609170,0,1,0
2023-01-09,14.26,14.31,13.77,14.02,1739586,0,1,0
2023-01-10,13.82,14.07,13.63,14.02,1555292,0,1,0
2023-01-11,14.02,14.31,14.02,14.11,1965985,1,0,0
2023-01-12,14.26,14.5,14.11,14.41,2004575,1,0,1
2023-01-13,14.55,14.7,14.16,14.16,2036201,0,1,1
2023-01-16,14.21,14.8,14.07,14.8,3508348,1,1,1
2023-01-17,14.89,15.33,14.89,15.33,3920425,1,0,1
2023-01-18,15.43,15.62,15.14,15.57,2818565,1,1,1
2023-01-19,15.62,15.87,15.48,15.87,2761017,1,0,1
2023-01-27,16.35,16.6,16.01,16.4,2607166,1,1,1
2023-01-30,16.74,16.74,16.06,16.06,3338082,0,1,1
2023-01-31,15.57,16.35,15.48,16.26,3560097,1,1,1
2023-02-01,16.45,16.45,15.14,15.14,2983983,0,1,0
2023-02-02,15.28,15.28,14.6,14.84,2191528,0,1,0
2023-02-03,14.84,15.09,14.65,14.99,1556852,1,0,0
2023-02-06,14.94,15.18,14.8,15.18,1201970,1,0,0
2023-02-07,15.33,15.33,14.41,14.41,2466551,0,1,0
2023-02-08,14.6,14.89,14.16,14.36,1594878,0,1,0
2023-02-09,14.41,14.8,14.41,14.55,1331025,1,0,0
2023-02-10,14.6,14.6,14.21,14.26,1425382,0,0,0
2023-02-13,14.16,14.26,13.43,13.63,2727409,0,1,0
2023-02-14,13.82,13.92,13.58,13.77,1157477,1,0,0
2023-02-15,13.82,14.26,13.68,14.11,1371833,1,1,1
2023-02-16,14.36,14.41,14.11,14.36,1167971,1,0,1
2023-02-17,14.36,14.6,14.21,14.31,1149311,0,0,1
2023-02-20,14.45,15.04,14.36,15.04,2360929,1,1,1
2023-02-21,15.09,15.33,14.94,14.94,1979608,0,0,1
2023-02-22,14.8,14.84,14.16,14.16,2358228,0,1,0
2023-02-23,14.16,14.41,13.82,14.41,2487187,1,1,0
2023-02-24,14.41,14.41,13.92,13.92,956433,0,1,0
2023-02-27,13.87,13.92,13.58,13.58,1276041,0,0,0
2023-02-28,13.72,13.92,13.48,13.58,899140,0,1,0
2023-03-01,13.63,14.02,13.53,14.02,980998,1,1,1
2023-03-02,14.07,14.26,13.87,13.87,969514,0,0,1
2023-03-03,14.02,14.16,13.72,13.72,1054758,0,1,0
2023-03-06,14.11,14.26,13.82,13.82,931226,1,1,1
2023-03-07,13.87,14.07,13.87,14.02,560496,1,0,1
2023-03-08,13.87,14.11,13.77,14.11,1543172,1,0,1
2023-03-09,14.16,14.89,14.16,14.75,3766344,1,1,1
2023-03-10,14.6,14.89,14.5,14.6,2676715,0,0,1
2023-03-13,14.41,14.65,14.36,14.55,2604110,0,0,1
2023-03-14,14.55,14.6,13.92,13.92,2160858,0,1,0
2023-03-15,14.31,14.8,14.16,14.8,2069708,1,1,1
2023-03-16,14.6,14.7,14.26,14.45,1713790,0,1,0
2023-03-17,14.6,14.7,14.41,14.5,1286065,1,0,1
2023-03-20,14.41,14.5,13.87,13.97,1912547,0,1,0
2023-03-21,14.02,14.16,13.72,14.07,1120010,1,1,0
2023-03-22,14.16,14.26,14.07,14.11,1128503,1,0,0
2023-03-23,13.92,14.16,13.92,14.11,835233,0,0,0
2023-03-24,14.26,14.65,14.21,14.41,2474920,1,1,1
2023-03-27,14.5,14.6,14.41,14.5,1528916,1,0,1
2023-03-28,14.65,14.75,14.41,14.41,2684573,0,0,1
2023-03-29,14.41,14.45,14.21,14.36,1237612,0,0,1
2023-03-30,14.6,14.6,14.31,14.31,1527041,0,0,0
2023-03-31,14.31,15.09,14.26,15.09,5445097,1,1,1
2023-04-03,15.33,15.53,15.18,15.53,3792289,1,0,1
2023-04-04,15.48,15.53,15.28,15.53,2975933,0,0,1
2023-04-05,15.48,15.91,15.38,15.77,3493402,1,1,1
2023-04-06,15.87,15.96,15.18,15.18,4859467,0,1,0
2023-04-07,15.28,15.48,15.09,15.48,2323859,1,0,0
2023-04-10,15.67,15.87,15.48,15.48,3130634,0,0,0
